Region,Country20,Year,Trade_Balance_m,Exports_m,Imports_m
East,Australia,2016,196.86,308.25,111.39
East,Australia,2017,231.01,353.08,122.06
East,Australia,2018,258.83,412.46,153.63
East,Australia,2019,300.31,454.22,153.91
East,Australia,2020,349.22,492.9,143.68
East,Australia,2021,355.22,497.62,142.4
East,Australia,2022,365.79,523.69,157.9
East,Australia,2023,348.26,508.6,160.34
East,Australia,2024,228.48,411.01,182.53
East,Belgium,2016,-1271.69,1680.85,2952.53
East,Belgium,2017,-1475.47,2228.32,3703.79
East,Belgium,2018,-2108.77,1798.28,3907.05
East,Belgium,2019,-1610.82,1406.85,3017.66
East,Belgium,2020,-1781.14,1165.81,2946.95
East,Belgium,2021,-153.03,2647.02,2800.05
East,Belgium,2022,10265.55,13296.78,3031.23
East,Belgium,2023,2070.24,5281.22,3210.98
East,Belgium,2024,-661.92,2744.97,3406.89
East,Canada,2016,-23.43,326.1,349.52
East,Canada,2017,-25.96,352.75,378.71
East,Canada,2018,105.13,496.01,390.88
East,Canada,2019,86.49,393.19,306.7
East,Canada,2020,48.85,301.12,252.27
East,Canada,2021,16.47,282.5,266.03
East,Canada,2022,-14.16,329.57,343.72
East,Canada,2023,-76.49,346.07,422.56
East,Canada,2024,4.47,339.66,335.2
East,China,2016,-2272.06,989.79,3261.86
East,China,2017,-1995.27,1248.6,3243.87
East,China,2018,-1914.26,1323.61,3237.87
East,China,2019,-1556.29,1734.32,3290.61
East,China,2020,-1035.63,2060.24,3095.87
East,China,2021,-2371.31,1572.04,3943.34
East,China,2022,-3637.58,1230.05,4867.63
East,China,2023,-2954.45,970.16,3924.61
East,China,2024,-3101.36,1071.01,4172.37
East,France,2016,-1311.5,1565.97,2877.46
East,France,2017,-1386.32,1676.45,3062.77
East,France,2018,-1296.49,1707.31,3003.8
East,France,2019,-1095.12,1694.27,2789.38
East,France,2020,-630.68,1561.9,2192.58
East,France,2021,-330.18,1867.16,2197.34
East,France,2022,-946.44,2175.11,3121.54
East,France,2023,-1498.91,2300.92,3799.83
East,France,2024,-846.23,2103.87,2950.1
East,Germany,2016,-4303.42,2692.05,6995.47
East,Germany,2017,-4094.67,3052.57,7147.24
East,Germany,2018,-3654.79,3114.24,6769.03
East,Germany,2019,-3107.74,3189.05,6296.78
East,Germany,2020,-2388.06,2912.2,5300.27
East,Germany,2021,-1554.29,2730.16,4284.44
East,Germany,2022,-2584.88,2578.44,5163.32
East,Germany,2023,-3162,2743.12,5905.12
East,Germany,2024,-2509.93,2379.69,4889.61
East,India,2016,-246.22,310.05,556.27
East,India,2017,-178.66,421.39,600.06
East,India,2018,-142.29,428.5,570.78
East,India,2019,-283.34,448.24,731.58
East,India,2020,-238.27,376.4,614.67
East,India,2021,-313.51,400.51,714.02
East,India,2022,-269.38,616.06,885.44
East,India,2023,-225.45,639.35,864.8
East,India,2024,-355.41,533.49,888.9
East,Ireland,2016,-558.24,1414.08,1972.32
East,Ireland,2017,-384.35,1623.31,2007.67
East,Ireland,2018,187.72,1661.83,1474.11
East,Ireland,2019,177.95,1648.88,1470.93
East,Ireland,2020,-224.19,1558.51,1782.7
East,Ireland,2021,350.11,1168.7,818.59
East,Ireland,2022,338.61,1475.05,1136.44
East,Ireland,2023,391.77,1595.23,1203.46
East,Ireland,2024,147.42,1414.95,1267.53
East,Italy,2016,-1090.96,1172.66,2263.62
East,Italy,2017,-1400.13,1149.59,2549.71
East,Italy,2018,-1815.76,1139.02,2954.78
East,Italy,2019,-1697.33,999.03,2696.36
East,Italy,2020,-1525.77,887.85,2413.62
East,Italy,2021,-1538.93,956.88,2495.82
East,Italy,2022,-2118.85,907.93,3026.79
East,Italy,2023,-2047.93,1046.29,3094.22
East,Italy,2024,-2075.4,911.12,2986.51
East,Japan,2016,-305.73,453.66,759.39
East,Japan,2017,-189.02,836.97,1025.98
East,Japan,2018,-35.62,802.44,838.05
East,Japan,2019,70.07,862.33,792.26
East,Japan,2020,272.07,860.9,588.83
East,Japan,2021,436.68,951.66,514.98
East,Japan,2022,-31.28,788.18,819.46
East,Japan,2023,-369.07,655.58,1024.65
East,Japan,2024,-85.85,566.86,652.71
East,Netherlands,2016,-3065,2077.28,5142.28
East,Netherlands,2017,-3806.12,1881.52,5687.64
East,Netherlands,2018,-4451.17,1805.18,6256.35
East,Netherlands,2019,-4197.71,1739.74,5937.46
East,Netherlands,2020,-3034.9,1536.54,4571.44
East,Netherlands,2021,-1008.85,2650.42,3659.28
East,Netherlands,2022,-675.7,5015.02,5690.72
East,Netherlands,2023,-2733.18,2620.55,5353.73
East,Netherlands,2024,-2277.91,2557.07,4834.98
East,Norway,2016,-5.63,235.82,241.45
East,Norway,2017,108.46,303.97,195.52
East,Norway,2018,31.54,321.11,289.57
East,Norway,2019,19.04,317.88,298.84
